wsid,name,country,province,icao,latitude,longitude,elevation,begin_date,end_date
010100-99999,ANDOYA,NO,,ENAN,+69.293,+016.144,+0013.1,1931-01-03,2025-06-04
010110-99999,KVITOYA,SV,,,+80.067,+031.500,+0010.0,1986-11-18,2025-06-04
010120-99999,,,,,,,,1974-11-30,1975-11-16
010140-99999,SENJA-LAUKHELLA,NO,,,+69.233,+017.900,+0009.0,1973-01-01,2014-05-23
010150-99999,HEKKINGEN FYR,NO,,,+69.600,+017.833,+0014.0,1980-03-14,2025-06-04
010160-99999,KONGSOYA,NO,,,+78.933,+028.900,+0020.0,1993-05-01,2025-06-04
010170-99999,AKSELOYA,SV,,,+77.683,+014.783,+0006.0,1973-01-01,2025-06-04
010171-99999,GIBOSTAD,NO,,,+69.350,+018.083,+0012.0,2005-02-16,2007-03-07
010190-99999,SVARTTANGEN,NO,,,+77.517,+020.817,+0020.0,2010-08-25,2014-05-23
010200-99999,SORKAPPOYA,SV,,,+76.483,+016.550,+0010.0,2010-10-08,2025-06-04
010230-99999,BARDUFOSS,NO,,ENDU,+69.056,+018.540,+0076.8,1940-07-13,2025-06-04
010231-99999,DRAUGEN,NO,,ENDR,+64.350,+007.800,+0000.0,2004-05-10,2025-06-04
010240-99999,PYRAMIDEN,NO,,,+78.650,+016.367,+0020.0,1973-01-01,2023-10-19
010250-99999,TROMSO,NO,,ENTC,+69.683,+018.919,+0009.4,1973-01-01,2025-06-04
010260-99999,TROMSO,NO,,,+69.650,+018.933,+0114.5,1997-02-01,2025-06-04
010270-99999,TROMSO-HOLT,NO,,,+69.650,+018.900,+0020.0,2011-09-28,2025-06-04
010280-99999,BJORNOYA ISLAND,NO,,ENBJ,+74.517,+019.017,+0018.0,1931-01-03,2025-06-04
010300-99999,KISTEFJELL,NO,,,+69.283,+018.133,+0982.0,1951-01-01,2025-06-04
010303-99999,TROMSO/SKATTURA,NO,,,+69.700,+019.017,+0014.0,2014-05-22,2015-01-08
010320-99999,OVERBYGD,NO,,,+69.017,+019.283,+0078.0,1973-01-01,2014-05-23
010330-99999,TORSVAG FYR,NO,,,+70.250,+019.500,+0024.0,1973-01-01,2025-06-04
010340-99999,FUGLOYKALVEN FYR,NO,,,+70.317,+020.150,+0038.0,1987-12-02,1997-12-31
010350-99999,LYNGEN GJERDVASSBU,NO,,,+69.567,+020.100,+0710.0,1973-01-01,2025-06-04
010360-99999,NORDNESFJELLET,NO,,,+69.567,+020.433,+0710.0,2004-05-10,2022-11-03
010361-99999,SKIBOTIN,NO,,,+69.367,+020.267,+0005.0,2005-09-16,2005-09-22
010370-99999,SKIBOTN 2,NO,,,+69.383,+020.283,+0020.0,1973-01-01,2025-06-04
010400-99999,SKJERVOY,NO,,,+70.033,+020.983,+0015.0,1973-01-01,1978-09-27
010410-99999,NORDREISA-OYENG,NO,,,+69.733,+021.017,+0005.0,1973-01-01,1997-12-14
010420-99999,HASVIK-SLUSKFJELLET,NO,,,+70.600,+022.450,+0438.0,2008-09-17,2025-06-04
010430-99999,ROGNSUNDET,NO,,,+70.417,+022.817,+0010.0,1973-01-01,2025-06-04
010431-99999,LOPPA,NO,,,+70.333,+021.467,+0011.0,2006-02-07,2007-03-07
010435-99999,HASVIK,NO,,,+70.483,+022.150,+0007.0,1975-05-15,1997-12-31
010440-99999,HASVIK,NO,,ENHK,+70.487,+022.140,+0006.4,2005-01-02,2025-06-04
010450-99999,NORDSTRAUM I KVAENANGEN,NO,,,+69.833,+021.883,+0006.0,1973-01-01,2025-06-04
010455-99999,,,,,,,,1974-11-17,1975-09-04
010460-99999,SORKJOSEN,NO,,ENSR,+69.787,+020.959,+0004.9,1975-09-05,2025-06-04
010470-99999,KAUTOKEINO II,NO,,ENKA,+69.017,+023.067,+0307.0,1973-01-01,2025-06-04
010490-99999,ALTA,NO,,ENAT,+69.976,+023.372,+0002.7,1973-01-01,2025-06-04
010510-99999,SUOLOVUOPMI,NO,,,+69.583,+023.533,+0374.0,1973-01-02,2014-05-23
010520-99999,HAMMERFEST AP,NO,,ENHF,+70.683,+023.683,+0081.0,1940-10-08,2025-06-04
010530-99999,HAMMERFEST RADIO,NO,,,+70.683,+023.683,+0070.0,1973-01-01,1987-12-26
010550-99999,FRUHOLMEN FYR,NO,,,+71.100,+023.983,+0014.2,1931-01-01,2025-06-04
010570-99999,CUOVDDATMOHKKI,NO,,,+69.367,+024.433,+0286.0,1973-01-01,2025-06-04
010580-99999,SUOLOVUOPMI LULIT,NO,,,+69.567,+023.533,+0381.0,2005-02-18,2025-06-04
010590-99999,BANAK / LAKSELV,NO,,ENNA,+70.069,+024.973,+0007.6,1973-01-01,2025-06-04
010610-99999,BRENNELV,NO,,,+70.067,+025.117,+0034.0,1973-01-01,1984-07-07
010617-99999,OSEBERG,NO,,,,,,1989-01-01,1990-10-01
010620-99999,HOPEN ISLAND,NO,,ENHO,+76.500,+025.067,+0010.0,1955-01-01,2025-06-04
010630-99999,KISTRAND III,NO,,,+70.450,+025.217,+0006.0,1973-01-01,1987-07-15
010650-99999,KARASJOK,NO,,,+69.467,+025.517,+0133.0,1973-01-01,2025-06-04
010660-99999,HELNES FYR,NO,,,+71.067,+026.233,+0033.0,1973-01-01,2004-06-19
010670-99999,LEVAJOK-EVJEN,NO,,,+69.900,+026.417,+0112.0,1973-01-03,1982-09-24
010671-99999,LEVAJOK-EVJEN,NO,,,+69.900,+026.417,+0112.0,2007-03-07,2007-03-07
010680-99999,HONNINGSVAG/VALAN,NO,,ENHV,+71.017,+025.983,+0014.0,1980-06-04,2025-06-04
010720-99999,,,,,,,,1974-02-27,1974-02-27
010740-99999,MEHAMN,NO,,ENMH,+71.033,+027.833,+0013.0,1975-09-05,2025-06-04
010750-99999,RUSTEFJELBMA,NO,,,+70.400,+028.200,+0011.2,1973-01-01,1997-12-31
010760-99999,TANABRU,NO,,,+70.217,+028.167,+0032.0,2012-11-21,2025-06-04
010780-99999,SLETTNES FYR,NO,,,+71.100,+028.233,+0010.0,1973-01-01,2025-06-04
010820-99999,NYRUD,NO,,,+69.150,+029.250,+0056.0,1973-09-19,2025-06-04
010830-99999,BERLEVAG,NO,,ENBV,+70.867,+029.033,+0013.0,1975-09-05,2025-06-04
010840-99999,PASVIK,NO,,,+69.450,+030.033,+0027.0,1973-01-01,2025-06-04
010850-99999,BUGOYFJORD,NO,,,+69.850,+029.417,+0008.0,1973-01-01,1978-10-08
010860-99999,BATSFJORD,NO,,ENBS,+70.600,+029.693,+0149.4,2005-01-01,2025-06-04
010875-99999,HEIMDAL OIL PLATFORM,NO,,ENHM,+59.567,+002.217,+0090.0,2011-01-01,2023-12-16
010876-99999,NORNE OIL PLATFORM,NO,,ENNE,+66.017,+008.083,+0090.0,2011-01-01,2025-06-04
010877-99999,TROLL A  OIL PLATFORM,NO,,ENQA,+60.633,+003.717,+0090.0,2011-01-01,2025-06-04
010878-99999,SNORRE A  OIL PLATFORM,NO,,ENSE,+61.450,+002.133,+0090.0,2011-01-01,2025-06-04
010879-99999,SNORRE B  OIL PLATFORM,NO,,ENQR,+61.533,+002.200,+0090.0,2011-01-01,2025-06-04
010880-99999,VADSO,NO,,ENVD,+70.067,+029.850,+0039.0,1975-09-05,2025-06-04
010881-99999,NARVIK III/FRAMNES,NO,,,+68.467,+017.500,+0023.0,2008-01-01,2008-12-31
010882-99999,ROROS,NO,,ENRO,+62.578,+011.342,+0626.1,2005-01-02,2025-06-04
010883-99999,SANDANE/ANDA,NO,,,+61.833,+006.117,+0060.0,2008-01-01,2008-12-31
010884-99999,GEITERYGGEN,NO,,ENSN,+59.185,+009.567,+0141.1,2005-01-03,2015-11-09
010885-99999,BATSFJORD,NO,,,+70.600,+029.733,+0153.0,1994-07-18,1997-12-30
010886-99999,SLEIPNER A OIL PLATFORM,NO,,ENSL,+58.367,+001.900,+0030.0,2009-02-01,2025-06-04
010887-99999,TROLL C OIL PLATFORM,NO,,ENQC,+60.886,+003.610,+0020.0,2011-05-12,2025-06-04
010890-99999,HOYBUKTMOEN / KIRKENES,NO,,ENKR,+69.726,+029.893,+0086.3,1940-11-01,2025-06-04
010920-99999,MAKKAUR FYR,NO,,,+70.700,+030.083,+0009.0,1973-01-01,2025-06-04
010970-99999,SVARTNES,NO,,,+70.350,+031.050,+0012.0,1993-02-09,1997-12-31
010980-99999,VARDO,NO,,,+70.367,+031.100,+0015.0,1931-01-03,2025-06-04
010985-99999,,,,,,,,1974-11-17,1975-09-04
010986-99999,,,,,,,,1974-11-17,1975-09-04
010987-99999,,,,,,,,1974-11-17,1975-09-04
010990-99999,VARDO AP / SVARTNES,NO,,ENSS,+70.355,+031.045,+0012.8,2005-01-02,2025-06-04
011010-99999,BOGUS NORWEGIAN,NO,,,,,,1985-12-02,2004-11-05
011020-99999,SKLINNA FYR,NO,,,+65.200,+011.000,+0016.0,1975-02-28,2025-06-04
011025-99999,HEIDRUN,NO,,ENHE,+65.333,+007.317,+0080.0,1999-04-24,2025-06-04
011030-99999,LEKA,NO,,,+65.100,+011.700,+0047.0,1973-01-01,1997-12-31
011040-99999,ROTVAER,NO,,,+68.367,+015.950,+0008.0,2008-01-01,2008-08-17
011050-99999,ROTVAER,NO,,,+68.367,+015.950,+0008.0,1973-01-01,2025-06-04
011051-99999,SKOMVAER (LGT-H),NO,,,+67.417,+011.883,+0018.0,2007-03-07,2007-03-07
011060-99999,ROEST III,NO,,,+67.517,+012.100,+0002.0,1928-01-01,1997-12-17
011070-99999,ROST (NOR-AFB),NO,,ENRS,+67.517,+012.100,+0004.0,1988-03-03,2025-06-04
011080-99999,VEGA-VALLSJO,NO,,,+65.700,+011.850,+0009.1,1991-08-01,2025-06-04
011090-99999,SKALVAER,NO,,,+65.867,+012.183,+0006.0,1973-01-01,1980-09-10
011100-99999,YTTERHOLMEN FYR,NO,,,+66.000,+011.683,+0033.0,1996-12-01,1997-12-31
011110-99999,BRONNOYSUND,NO,,,+65.467,+012.217,+0005.0,1973-01-16,1973-07-18
011120-99999,BRONNOY / BRONNOYSUND,NO,,ENBN,+65.461,+012.218,+0007.6,1973-01-01,2025-06-04
011130-99999,GLOMFJORD,NO,,,+66.800,+013.983,+0039.0,2004-04-06,2009-12-16
011133-99999,DAGALI,NO,,ENDI,+60.417,+008.513,+0798.0,1986-05-09,1997-12-30
011140-99999,REIPA,NO,,,+66.900,+013.633,+0008.0,2009-07-02,2025-06-04
011150-99999,MYKEN,NO,,,+66.767,+012.483,+0013.0,1973-01-01,2025-06-04
011160-99999,STOKKA / SANDNESSJOEN,NO,,ENST,+65.950,+012.467,+0017.1,1973-04-01,2025-06-04
011170-99999,TJOTTA,NO,,,+65.817,+012.417,+0021.0,2004-01-19,2025-06-04
011210-99999,SOLVAER III,NO,,,+66.367,+012.617,+0010.0,1973-01-01,2025-06-04
011220-99999,KJAERSTAD,NO,,ENMS,+65.784,+013.215,+0072.2,1988-10-14,2025-06-04
011240-99999,SNASA,NO,,,+64.167,+012.467,+0195.0,2005-02-18,2025-06-04
011310-99999,GLAPEN LIGHTHOUSE,NO,,,+67.883,+013.050,+0031.0,1973-01-01,1985-06-25
011320-99999,MAJAVATN V,NO,,,+65.167,+013.367,+0319.0,2008-02-29,2025-06-04
011330-99999,LAKSFORS,NO,,,+65.617,+013.283,+0050.0,2011-11-29,2025-06-04
011340-99999,MAJAVATN III,NO,,,+65.183,+013.417,+0339.0,1973-01-01,1997-12-31
011350-99999,SELJELIA,NO,,,+66.117,+013.583,+0123.0,2011-11-29,2025-06-04
011370-99999,STOTT,NO,,,+66.933,+013.450,+0012.0,1973-08-06,1997-01-31
011380-99999,TENNHOLMEN (LGT-H),NO,,,+67.300,+013.500,+0014.0,1985-09-12,1997-12-31
011390-99999,VAEROY HELIPORT,NO,,ENVR,+67.650,+012.717,+0004.0,2011-09-28,2025-06-04
011410-99999,LEKNES,NO,,ENLK,+68.150,+013.617,+0026.0,1973-06-20,2025-06-04
011430-99999,DRAG-AJLUOKTA,NO,,,+68.050,+016.083,+0019.0,2007-08-06,2025-06-04
011440-99999,HELLIGVAER II,NO,,,+67.400,+013.883,+0024.0,2005-03-15,2025-06-04
011450-99999,KVALNES I LOFOTEN,NO,,,+68.350,+013.967,+0015.0,1973-01-01,1982-05-04
011460-99999,SKAMDAL,NO,,,+66.233,+013.883,+0005.0,1973-01-01,2025-06-04
011470-99999,VARNTRESK,NO,,,+65.833,+014.183,+0406.0,1940-09-07,2025-06-04
011480-99999,STORFORSHEI,NO,,,+66.383,+014.517,+0110.0,2011-06-16,2025-06-04
011490-99999,RANA-BASMOEN,NO,,,+66.333,+014.100,+0042.0,1973-01-01,1997-12-15
011500-99999,HJARTASEN,NO,,,+66.500,+014.950,+0251.0,1973-01-03,2025-06-04
011501-99999,HATTFJELLDAL-KRUTA,NO,,,+65.683,+014.167,+0385.0,2002-03-12,2002-03-12
011505-99999,,,,,,,,1975-11-01,1975-11-30
011510-99999,MOIRANA,NO,,ENRA,+66.367,+014.300,+0070.0,1973-04-01,2025-06-04
011520-99999,BODO,NO,,ENBO,+67.269,+014.365,+0012.8,1940-09-17,2025-06-04
011530-99999,BODO-VAGONES,NO,,,+67.283,+014.450,+0033.0,2011-10-03,2014-06-11
011540-99999,LITLOY FYR,NO,,,+68.583,+014.300,+0030.0,1994-04-06,1997-12-31
011550-99999,BO I VESTERALEN II,NO,,,+68.633,+014.467,+0012.0,1973-01-01,2004-12-01
011560-99999,BO I VESTERALEN,NO,,,+68.600,+014.433,+0007.6,2004-05-10,2025-06-04
011580-99999,SETSA,NO,,,+67.167,+015.483,+0008.0,2010-01-14,2025-06-04
011600-99999,SKROVA FYR,NO,,,+68.150,+014.650,+0011.0,1973-01-01,2025-06-04
011610-99999,SVOLVAER/HELLE,NO,,ENSH,+68.250,+014.667,+0009.0,1973-06-20,2025-06-04
011620-99999,STORKMARKNES/SKAGEN,NO,,ENSK,+68.583,+015.017,+0003.0,1973-06-20,2025-06-04
011630-99999,BOLNA,NO,,,+66.500,+015.250,+0549.0,1973-01-01,1977-08-23
011650-99999,GROTOY,NO,,,+67.833,+014.783,+0006.0,1973-01-01,1978-10-31
011670-99999,SORTLAND,NO,,,+68.700,+015.417,+0003.0,1985-02-01,1997-12-31
011680-99999,KLEIVA I SORTLAND,NO,,,+68.650,+015.283,+0023.0,1973-01-01,2006-06-11
011690-99999,SALTDAL-NORDNES,NO,,,+66.933,+015.317,+0037.0,1983-01-01,2025-06-04
011691-99999,OVRE SALTDAL,NO,,,+66.967,+015.317,+0026.0,1973-01-01,1978-10-08
011700-99999,FAUSKE-VETEN,NO,,,+67.233,+015.317,+0165.0,1973-01-01,1990-03-07
011720-99999,FINNOY I HAMAROY,NO,,,+68.000,+015.617,+0053.0,1973-01-01,2006-03-11
011730-99999,,,,,,,,1973-01-01,1973-07-31
011751-99999,LODINGEN,NO,,,+68.400,+016.000,+0010.0,2004-01-08,2004-01-08
011760-99999,KONGSVIK,NO,,,+68.567,+016.267,+0025.0,1973-01-01,1978-01-18
011800-99999,HARSTAD,NO,,,+68.800,+016.533,+0045.0,2004-05-10,2025-06-04
011820-99999,EVENSKJER,NO,,,+68.583,+016.583,+0007.0,1973-01-01,1985-11-19
011830-99999,EVENES / HARSTAD NARVIK,NO,,ENEV,+68.491,+016.678,+0025.6,1975-09-05,2025-06-04
011840-99999,SANDSOY I SENJA,NO,,,+68.933,+016.683,+0045.0,1973-01-01,1978-06-13
011841-99999,SANDSOY,NO,,,+68.933,+016.683,+0045.0,2007-03-07,2007-03-07
011890-99999,LILAND,NO,,,+68.483,+016.883,+0019.0,1973-01-02,2005-03-02
011895-99999,,,,,,,,1973-10-08,1975-09-04
011910-99999,SKJOMEN-SLETTJORD,NO,,,+68.283,+017.317,+0006.0,1973-01-01,1996-11-04
011920-99999,STRAUMSNES,NO,,,+68.417,+017.650,+0200.0,2011-02-03,2025-06-04
011930-99999,NARVIK III/FRAMNES,NO,,ENNK,+68.467,+017.500,+0023.0,2001-07-06,2017-04-03
011940-99999,NARVIK III,NO,,ENNK,+68.467,+017.500,+0023.0,1973-01-01,1997-12-31
011960-99999,TENNEVOLL,NO,,,+68.750,+017.817,+0021.0,1973-01-01,1997-12-14
011980-99999,DIVIDALEN II,NO,,,+68.783,+019.700,+0204.0,2010-01-14,2025-06-04
011990-99999,SIHCCAJAVRI,NO,,,+68.750,+023.533,+0382.0,1949-01-01,2025-06-04
012030-99999,KRAKENES,NO,,,+62.033,+004.983,+0041.0,1931-09-04,2025-06-03
012050-99999,SVINOY LH,NO,,,+62.333,+005.267,+0037.2,1973-01-01,2025-06-04
012070-99999,FISKABYGD,NO,,,+62.100,+005.583,+0041.0,2004-05-10,2018-06-30
012090-99999,ORSTA-VOLDA/HOVDEN,NO,,ENOV,+62.183,+006.067,+0074.0,1984-12-11,2025-06-04
012091-99999,ORSTA-VOLDA/HOVD,NO,,ENOV,+62.183,+006.050,+0074.0,1984-09-10,1984-11-27
012100-99999,VIGRA / ALESUND,NO,,ENAL,+62.560,+006.110,+0021.0,1973-01-01,2025-06-04
012120-99999,ONA II,NO,,,+62.867,+006.533,+0015.0,1955-01-01,2025-06-04
012140-99999,REKDAL,NO,,,+62.650,+006.767,+0043.0,2009-01-12,2025-06-04
012150-99999,HJELVIK MYRBO,NO,,,+62.620,+007.230,+0035.0,1973-01-01,2009-06-30
012160-99999,HJELVIK I ROMSDAL,NO,,,+62.617,+007.217,+0016.0,1973-12-26,2002-05-27
012161-99999,GJERMUNDNES,NO,,,+62.617,+007.167,+0049.0,2004-04-12,2004-04-12
012170-99999,ARO,NO,,ENML,+62.745,+007.263,+0003.0,1976-02-01,2025-06-04
012180-99999,TAFJORD,NO,,,+62.233,+007.417,+0017.0,1973-01-01,2025-06-04
012200-99999,MANNEN,NO,,,+62.450,+007.767,+1294.0,2010-03-15,2025-06-02
012210-99999,TAGDALEN,NO,,,+63.050,+009.083,+0415.0,2008-01-15,2025-06-04
012220-99999,,,,,,,,1973-01-01,1975-12-31
012230-99999,KVERNBERGET,NO,,ENKB,+63.112,+007.825,+0062.2,1973-01-01,2025-06-04
012240-99999,AALESUND,NO,,,+62.467,+006.217,+0050.0,1984-12-01,2025-05-22
012250-99999,VEIHOLMEN,NO,,,+63.517,+007.950,+0005.0,1973-01-01,2025-06-04
012270-99999,INNERDALEN,NO,,,+62.717,+008.783,+0405.0,1973-01-01,2025-06-04
012273-99999,TINGVOLL-HANEM,NO,,,+62.833,+008.300,+0069.0,2005-01-01,2015-01-08
012280-99999,SULA,NO,,,+63.850,+008.467,+0006.0,1973-01-01,2025-06-04
012300-99999,BJORLI,NO,,,+62.267,+008.200,+0579.0,1973-01-01,2025-06-04
012310-99999,LESJASKOG,NO,,,+62.233,+008.367,+0621.0,1977-10-30,1997-12-06
012320-99999,VINJEORA II,NO,,,+62.450,+007.850,+0067.0,1973-01-01,2025-06-04
012330-99999,DOMBAAS,NO,,,+62.083,+009.117,+0638.0,2006-11-21,2025-06-04
012340-99999,ORKDAL-THAMSHAMN,NO,,,+63.317,+009.850,+0004.0,2006-11-21,2025-06-04
012350-99999,DOMBAS-KIRKENAER,NO,,,+62.083,+009.133,+0645.0,1936-01-01,1976-06-02
012360-99999,KJOREMSGRENDE,NO,,,+62.100,+009.050,+0626.0,2005-02-18,2010-01-04
012370-99999,HITRA,NO,,,+63.517,+009.117,+0013.0,2005-04-02,2025-06-04
012380-99999,FOKSTUA II,NO,,,+62.117,+009.283,+0974.0,1973-01-01,2025-06-04
012390-99999,HJERKINN II,NO,,,+62.217,+009.550,+1012.0,2010-09-07,2025-06-04
012400-99999,HALTEN FYR,NO,,,+64.167,+009.400,+0016.0,1985-01-10,2025-06-04
012410-99999,ORLAND,NO,,ENOL,+63.699,+009.604,+0008.5,1973-01-01,2025-06-04
012420-99999,AFJORD II,NO,,,+63.967,+010.217,+0030.0,2008-01-15,2025-06-04
012430-99999,SONGLI,NO,,,+63.333,+009.650,+0300.0,1973-01-01,1976-11-19
012450-99999,OPPDAL-SETER,NO,,,+62.600,+009.667,+0606.0,1976-02-01,2025-06-04
012480-99999,VALLERSUND,NO,,,+63.850,+009.733,+0004.0,1973-01-01,1975-12-19
012500-99999,FOLLDAL-FREDHEIM,NO,,,+62.133,+010.000,+0694.0,2011-09-28,2025-06-04
012520-99999,BERKAK-LYNGHOLT,NO,,,+62.817,+010.017,+0475.0,1973-01-01,1997-12-31
012530-99999,SOKNEDAL,NO,,,+62.950,+010.183,+0299.0,2009-01-12,2025-06-04
012540-99999,KOTSOY,NO,,,+62.983,+010.550,+0127.0,2009-01-12,2025-06-04
012570-99999,TRONDHEIM/VOLL,NO,,,+63.417,+010.450,+0131.5,2004-04-06,2025-06-04
012580-99999,TRONDHEIM (TYHOLT),NO,,,+63.417,+010.433,+0113.0,1973-01-01,1981-07-14
012590-99999,BUHOLMRASA LH,NO,,,+64.400,+010.450,+0018.4,1973-01-01,2025-06-04
012620-99999,NORDOYAN FYR,NO,,,+64.800,+010.550,+0033.0,1928-01-02,2025-06-04
012650-99999,TYNSET-HANSMOEN,NO,,,+62.267,+010.733,+0482.3,1949-01-01,2025-06-04
012680-99999,,,,,,,,1973-01-01,1975-01-25
012700-99999,KVITHAMAR,NO,,,+63.483,+010.883,+0040.0,2011-10-03,2025-06-03
012710-99999,VAERNES / TRONDHEIM,NO,,ENVA,+63.458,+010.940,+0017.1,1940-04-13,2025-06-04
012720-99999,FROSTA,NO,,,+63.567,+010.700,+0070.0,2011-09-29,2025-06-04
012730-99999,SELBU,NO,,,+63.233,+011.017,+0160.0,2007-10-16,2025-06-04
012740-99999,SELBU-STUBBE,NO,,,+63.200,+011.117,+0242.0,1973-01-01,1997-12-31
012770-99999,STEINKJER,NO,,,+64.017,+011.450,+0080.0,1973-01-01,2025-06-04
012771-99999,LEVANGER-EGGEN,NO,,,+63.717,+011.233,+0097.0,1973-01-01,1973-02-16
012780-99999,VERDAL-REPPE,NO,,,+63.783,+011.683,+0083.0,1985-01-02,1997-12-31
012800-99999,NAMDALSEID-VENGSTAD,NO,,,+64.133,+011.333,+0118.0,1973-01-01,1997-12-31
012810-99999,NAMSSKOGAN,NO,,,+64.733,+012.850,+0140.0,2007-01-05,2025-06-04
012820-99999,RORVIK/RYUM,NO,,ENRM,+64.837,+011.143,+0005.0,1995-09-01,2025-06-04
012823-99999,RORVIK/RYUM,NO,,,+64.850,+011.233,+0014.0,1991-08-27,1995-08-31
012870-99999,SOLENDET,NO,,,+62.683,+011.817,+0747.0,2008-01-15,2025-06-04
012880-99999,ROROS,NO,,,+62.567,+011.383,+0630.0,1973-01-01,2025-06-04
012890-99999,ROROS LUFTHAVN,NO,,ENRO,+62.583,+011.350,+0626.0,1984-09-09,1997-12-31
012891-99999,ROROS/AIRPORT,NO,,ENRO,+62.583,+011.383,+0626.0,1979-03-01,1984-08-17
012900-99999,NAMSOS AIRPORT,NO,,ENNM,+64.467,+011.583,+0002.0,1973-04-01,2025-06-04
012910-99999,GARTLAND,NO,,,+64.533,+012.383,+0095.0,2009-01-12,2025-06-04
012920-99999,MERAKER-UTSYN,NO,,,+63.417,+011.700,+0240.0,1973-01-01,1997-12-31
012930-99999,MERAKER-EGGE,NO,,,+63.417,+011.733,+0171.0,2005-02-15,2025-06-04
012940-99999,,,,,,,,1973-01-01,1974-06-29
012950-99999,HOYLANDET,NO,,,+64.550,+012.150,+0027.0,1973-01-01,2007-06-12
012960-99999,BERG I SNASA,NO,,,+64.250,+012.417,+0127.0,1973-01-01,1977-06-06
012980-99999,NORDLI-HOLAND,NO,,,+64.450,+013.717,+0433.0,1973-01-01,2019-10-16
013000-99999,GULLFAKS C,NO,,,+61.200,+002.267,+0078.0,2001-06-01,2025-06-04
013005-99999,STATFJORD OIL PLATFORM HELIPORT,FO,,ENSF,+61.250,+001.850,+0117.7,1984-12-04,2025-06-04
013040-99999,YTTEROYANE FYR,NO,,,+61.567,+004.683,+0025.0,1984-09-01,2025-06-04
013060-99999,HELLISOY FYR,NO,,,+60.750,+004.717,+0023.0,1973-01-01,2004-12-29
013070-99999,FEDJE,NO,,,+60.750,+004.717,+0020.0,2005-02-18,2025-06-04
013080-99999,FURUNESET,NO,,,+61.300,+005.050,+0007.0,2011-09-28,2025-06-02
013090-99999,KINN ISLAND,NO,,,+61.567,+004.800,+0010.0,1931-01-04,2005-10-22
013100-99999,FLORO,NO,,ENFL,+61.584,+005.025,+0011.3,1980-04-07,2025-06-04
013110-99999,FLESLAND / BERGEN,NO,,ENBR,+60.293,+005.218,+0051.8,1973-01-01,2025-06-04
013140-99999,FOSSMARK,NO,,,+60.517,+005.717,+0010.0,2012-06-15,2025-06-04
013150-99999,EVANGER,NO,,,+60.633,+006.100,+0017.0,2010-12-14,2025-06-04
013160-99999,BERGEN-FREDRIKSBERG,NO,,,+60.400,+005.317,+0040.0,1973-01-01,1985-12-30
013170-99999,BERGEN/FLORIDA,NO,,,+60.383,+005.333,+0036.0,1973-01-01,2025-06-04
013180-99999,SANDANE,NO,,,+61.783,+006.183,+0051.0,2005-06-14,2017-12-31
013190-99999,TAKLE,NO,,,+61.033,+005.383,+0038.0,1973-01-01,2025-06-04
013200-99999,SANDANE/ANDA,NO,,ENSD,+61.833,+006.117,+0060.0,1981-09-04,2025-06-04
